[2026-08-13T08:44:06.960Z] GET http://localhost:3000/ → 307 (15ms, ?B)
[2026-08-13T08:44:09.479Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2 → 200 (9ms, 29288B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (9ms, 15300B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1t0q_7d._.js → 200 (9ms, 594B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_compiled_next-devtools_index_1odad5f.js → 200 (54ms, 250283B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_compiled_react-dom_1pa04jo._.js → 200 (45ms, 185298B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_compiled_react-server-dom-turbopack_1hxp1qv._.js → 200 (29ms, 32597B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_compiled_20v3z81._.js → 200 (29ms, 27423B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_client_0hqh0h8._.js → 200 (44ms, 196897B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_1d8ep13._.js → 200 (30ms, 33828B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/0vvp_%40swc_helpers_cjs_0vb02wp._.js → 200 (30ms, 776B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (29ms, 778B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06xpw92._.js → 200 (31ms, 26190B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → 200 (30ms, 787B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/1eoi_%40clerk_nextjs_dist_esm_app-router_212kl8s._.js → 200 (30ms, 501B)
[2026-08-13T08:44:09.480Z] GET http://localhost:3000/_next/static/chunks/1rcl_%40clerk_shared_dist_0_5q7t3._.js → 200 (42ms, 68732B)
[2026-08-13T08:44:09.481Z] GET http://localhost:3000/_next/static/chunks/0qih_%40tanstack_query-core_build_modern_0ss23c5._.js → 200 (40ms, 20045B)
[2026-08-13T08:44:09.481Z] GET http://localhost:3000/_next/static/chunks/0lru_%40clerk_react_dist_20q75h4._.js → 200 (42ms, 31472B)
[2026-08-13T08:44:09.481Z] GET http://localhost:3000/_next/static/chunks/1eoi_%40clerk_nextjs_dist_esm_1g81asa._.js → 200 (42ms, 12021B)
[2026-08-13T08:44:09.481Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_18yppf7._.js → 200 (44ms, 18432B)
[2026-08-13T08:44:09.481Z] GET http://localhost:3000/_next/static/chunks/0hhu_next_dist_0688zjn._.js → 200 (44ms, 9662B)
[2026-08-13T08:44:09.481Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6/dist/clerk.browser.js → 307 (180ms, ?B)
[2026-08-13T08:44:09.481Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1/dist/ui.browser.js → 307 (182ms, ?B)
[2026-08-13T08:44:09.571Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (?ms, 3893B)
[2026-08-13T08:44:09.661Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6.28.1/dist/clerk.browser.js → 200 (97ms, 77565B)
[2026-08-13T08:44:09.663Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui.browser.js → 200 (145ms, 44327B)
[2026-08-13T08:44:09.903Z] GET blob:http://localhost:3000/694fcf98-02e6-4e28-962f-95af11278611 → 200 (5ms, -94B)
[2026-08-13T08:44:09.903Z] POST https://first-husky-42.clerk.accounts.dev/v1/dev_browser?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1 → 200 (334ms, 1775B)
[2026-08-13T08:44:10.244Z] POST https://first-husky-42.clerk.accounts.dev/v1/environment?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&_method=PATCH&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:44:10.244Z] GET https://first-husky-42.clerk.accounts.dev/v1/client?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:44:10.598Z] GET blob:http://localhost:3000/bac63161-d6be-4913-86f0-8e51e7c5c7aa → 200 (2ms, -94B)
[2026-08-13T08:44:10.598Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/framework_ui_e21f27_1.30.1.js → 200 (139ms, 43655B)
[2026-08-13T08:44:10.598Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui-common_ui_e21f27_1.30.1.js → 200 (145ms, 127272B)
[2026-08-13T08:44:10.755Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/vendors_ui_e21f27_1.30.1.js → 200 (82ms, 66201B)
[2026-08-13T08:44:10.755Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/subscriptionDetails_ui_e21f27_1.30.1.js → 200 (67ms, 5379B)
[2026-08-13T08:44:55.483Z] GET http://localhost:3000/session-tasks/choose-organization → 307 (7ms, ?B)
[2026-08-13T08:44:55.491Z] GET https://first-husky-42.accounts.dev/sign-in?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fsession-tasks%2Fchoose-organization&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → 200 (909ms, ?B)
[2026-08-13T08:44:56.462Z] GET https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@400;600&display=swap → 200 (299ms, 1202B)
[2026-08-13T08:44:56.462Z] GET https://first-husky-42.accounts.dev/assets/index-ThexdIYe.js → 200 (184ms, 199596B)
[2026-08-13T08:44:56.789Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (270ms, 301B)
[2026-08-13T08:44:56.789Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-CndlaM2v.css → 200 (90ms, 839B)
[2026-08-13T08:44:56.879Z] GET https://first-husky-42.accounts.dev/assets/sign-in_._-Ctd55dXj.js → 200 (91ms, 1412B)
[2026-08-13T08:44:56.970Z] GET https://first-husky-42.accounts.dev/assets/clerk-compat-DBmOf38R.js → 200 (113ms, 3495B)
[2026-08-13T08:44:56.970Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-D1ZPaUxq.js → 200 (119ms, 965B)
[2026-08-13T08:44:56.970Z] GET https://first-husky-42.accounts.dev/assets/use-hosted-native-auth-entry-B0o8Rl7t.js → 200 (95ms, 1910B)
[2026-08-13T08:44:57.096Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6/dist/clerk.browser.js → 307 (72ms, ?B)
[2026-08-13T08:44:57.096Z] GET https://first-husky-42.accounts.dev/assets/pkg-CZteM3iL.js → 200 (98ms, 17524B)
[2026-08-13T08:44:57.168Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6.28.1/dist/clerk.browser.js → 200 (3ms, -911B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/tslib.es6-oufmIyRV.js → pending (?ms, ?B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/middleware-BGOwCGce.js → 200 (145ms, 8831B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/helpers-CrpDwc0d.js → 200 (134ms, 828B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/callback-D7xsLOEK.js → 200 (215ms, 986B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/metric-helpers-Dg-U37U8.js → 200 (128ms, 3269B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/gracefulDecodeURIComponent-B-EHCWXe.js → 200 (136ms, 1647B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.accounts.dev/assets/load-script-MP4jUGaM.js → pending (?ms, ?B)
[2026-08-13T08:44:57.194Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1/dist/ui.browser.js → pending (?ms, ?B)
[2026-08-13T08:44:57.479Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui.browser.js → 200 (4ms, -911B)
[2026-08-13T08:44:57.497Z] GET blob:https://first-husky-42.accounts.dev/181bb24f-f8d8-4dbe-a156-e39819b9042e → 200 (11ms, -94B)
[2026-08-13T08:44:57.499Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (59ms, 57B)
[2026-08-13T08:44:57.499Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (57ms, 57B)
[2026-08-13T08:44:57.506Z] GET https://first-husky-42.clerk.accounts.dev/v1/environment?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → 200 (321ms, 2789B)
[2026-08-13T08:44:57.506Z] GET https://first-husky-42.clerk.accounts.dev/v1/client?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → 200 (321ms, 1109B)
[2026-08-13T08:44:57.513Z] POST https://clerk-telemetry.com/v1/event → pending (?ms, ?B)
[2026-08-13T08:44:57.650Z] GET https://scdn.clerk.com/v1/projects/GHC5j9EImlsFgFvR5x9jlj4XissduHpH/settings → 200 (359ms, 1135B)
[2026-08-13T08:44:57.829Z] GET blob:https://first-husky-42.accounts.dev/b1225854-2e69-4795-929d-704b04a733e6 → 200 (5ms, -94B)
[2026-08-13T08:44:57.830Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/framework_ui_e21f27_1.30.1.js → 200 (5ms, -903B)
[2026-08-13T08:44:57.830Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui-common_ui_e21f27_1.30.1.js → 200 (9ms, -912B)
[2026-08-13T08:44:57.832Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/vendors_ui_e21f27_1.30.1.js → 200 (7ms, -907B)
[2026-08-13T08:44:57.832Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signup_ui_e21f27_1.30.1.js → 200 (77ms, 12090B)
[2026-08-13T08:44:57.832Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/8746_ui_e21f27_1.30.1.js → 200 (74ms, 2820B)
[2026-08-13T08:44:57.832Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signin_ui_e21f27_1.30.1.js → 200 (75ms, 17672B)
[2026-08-13T08:44:57.833Z] POST https://clerk-telemetry.com/v1/event → pending (?ms, ?B)
[2026-08-13T08:44:57.854Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/subscriptionDetails_ui_e21f27_1.30.1.js → 200 (?ms, -909B)
[2026-08-13T08:44:57.855Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4718_ui_e21f27_1.30.1.js → 200 (77ms, 5972B)
[2026-08-13T08:44:57.859Z] POST https://clerk-telemetry.com/v1/event → 200 (232ms, ?B)
[2026-08-13T08:44:57.975Z] GET https://img.clerk.com/static/github.svg → 200 (256ms, 2033B)
[2026-08-13T08:44:57.975Z] GET https://img.clerk.com/static/google.svg → 200 (257ms, 2193B)
[2026-08-13T08:44:57.981Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/taskSetupMFA_ui_e21f27_1.30.1.js → 200 (71ms, 6223B)
[2026-08-13T08:44:57.981Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4424_ui_e21f27_1.30.1.js → 200 (71ms, 5740B)
[2026-08-13T08:44:57.981Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/sessionTasks_ui_e21f27_1.30.1.js → 200 (72ms, 2458B)
[2026-08-13T08:44:58.018Z] POST https://segapi.clerk.com/v1/p → pending (?ms, ?B)
[2026-08-13T08:45:19.515Z] GET http://localhost:3000/w/my-organization-1786203378813101008 → 307 (8ms, ?B)
[2026-08-13T08:45:19.523Z] GET https://first-husky-42.accounts.dev/sign-in?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fw%2Fmy-organization-1786203378813101008&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → 200 (609ms, 8148B)
[2026-08-13T08:45:20.133Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → pending (?ms, ?B)
[2026-08-13T08:45:20.133Z] GET https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@400;600&display=swap → 200 (?ms, -743B)
[2026-08-13T08:45:20.133Z] GET https://first-husky-42.accounts.dev/assets/index-ThexdIYe.js → 200 (1ms, -2285B)
[2026-08-13T08:45:20.179Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → 200 (61ms, 20B)
[2026-08-13T08:45:20.179Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-CndlaM2v.css → 200 (?ms, -2293B)
[2026-08-13T08:45:20.183Z] GET https://first-husky-42.accounts.dev/assets/sign-in_._-Ctd55dXj.js → 200 (?ms, -2290B)
[2026-08-13T08:45:20.184Z] GET https://first-husky-42.accounts.dev/assets/clerk-compat-DBmOf38R.js → 200 (?ms, -2290B)
[2026-08-13T08:45:20.184Z] GET https://first-husky-42.accounts.dev/assets/use-has-hydrated-D1ZPaUxq.js → 200 (?ms, -2296B)
[2026-08-13T08:45:20.184Z] GET https://first-husky-42.accounts.dev/assets/use-hosted-native-auth-entry-B0o8Rl7t.js → 200 (?ms, -2310B)
[2026-08-13T08:45:20.189Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6/dist/clerk.browser.js → 307 (84ms, ?B)
[2026-08-13T08:45:20.193Z] GET https://first-husky-42.accounts.dev/assets/pkg-CZteM3iL.js → 200 (?ms, -2280B)
[2026-08-13T08:45:20.194Z] GET https://first-husky-42.accounts.dev/assets/tslib.es6-oufmIyRV.js → 200 (?ms, -2295B)
[2026-08-13T08:45:20.194Z] GET https://first-husky-42.accounts.dev/assets/middleware-BGOwCGce.js → 200 (?ms, -2290B)
[2026-08-13T08:45:20.195Z] GET https://first-husky-42.accounts.dev/assets/helpers-CrpDwc0d.js → 200 (?ms, -2285B)
[2026-08-13T08:45:20.195Z] GET https://first-husky-42.accounts.dev/assets/callback-D7xsLOEK.js → 200 (?ms, -2298B)
[2026-08-13T08:45:20.195Z] GET https://first-husky-42.accounts.dev/assets/metric-helpers-Dg-U37U8.js → 200 (?ms, -2292B)
[2026-08-13T08:45:20.195Z] GET https://first-husky-42.accounts.dev/assets/gracefulDecodeURIComponent-B-EHCWXe.js → 200 (1ms, -2308B)
[2026-08-13T08:45:20.196Z] GET https://first-husky-42.accounts.dev/assets/load-script-MP4jUGaM.js → 200 (?ms, -2285B)
[2026-08-13T08:45:20.197Z] GET https://scdn.clerk.com/v1/projects/GHC5j9EImlsFgFvR5x9jlj4XissduHpH/settings → 200 (1ms, -761B)
[2026-08-13T08:45:20.200Z] POST https://segapi.clerk.com/v1/p → pending (?ms, ?B)
[2026-08-13T08:45:20.273Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/clerk-js@6.28.1/dist/clerk.browser.js → 200 (3ms, -911B)
[2026-08-13T08:45:20.290Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1/dist/ui.browser.js → 307 (70ms, ?B)
[2026-08-13T08:45:20.360Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui.browser.js → 200 (2ms, -911B)
[2026-08-13T08:45:20.393Z] GET blob:https://first-husky-42.accounts.dev/0823105a-2866-4fe0-9675-3bbe0bdd4ce3 → 200 (8ms, -94B)
[2026-08-13T08:45:20.394Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → pending (?ms, ?B)
[2026-08-13T08:45:20.394Z] POST https://o449981.ingest.us.sentry.io/api/4508852298842113/envelope/?sentry_version=7&sentry_key=23caec1f1636630cc3df8a753b1979eb&sentry_client=sentry.javascript.tanstackstart-react%2F10.55.0 → pending (?ms, ?B)
[2026-08-13T08:45:20.400Z] GET https://first-husky-42.clerk.accounts.dev/v1/environment?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:45:20.400Z] GET https://first-husky-42.clerk.accounts.dev/v1/client?__clerk_api_version=2026-05-12&_clerk_js_version=6.28.1&__clerk_db_jwt=dvb_3Hqzzk7HOrQb07XAULZkj1sStle → pending (?ms, ?B)
[2026-08-13T08:45:20.735Z] GET blob:https://first-husky-42.accounts.dev/af503120-4703-4d1f-867d-5ef364bdedf4 → 200 (14ms, -94B)
[2026-08-13T08:45:20.737Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/framework_ui_e21f27_1.30.1.js → 200 (?ms, -903B)
[2026-08-13T08:45:20.738Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/ui-common_ui_e21f27_1.30.1.js → 200 (?ms, -912B)
[2026-08-13T08:45:20.739Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/vendors_ui_e21f27_1.30.1.js → 200 (1ms, -907B)
[2026-08-13T08:45:20.740Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signup_ui_e21f27_1.30.1.js → 200 (?ms, -954B)
[2026-08-13T08:45:20.740Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/8746_ui_e21f27_1.30.1.js → 200 (?ms, -945B)
[2026-08-13T08:45:20.740Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/signin_ui_e21f27_1.30.1.js → 200 (1ms, -959B)
[2026-08-13T08:45:20.758Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/subscriptionDetails_ui_e21f27_1.30.1.js → 200 (?ms, -909B)
[2026-08-13T08:45:20.759Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4718_ui_e21f27_1.30.1.js → 200 (?ms, -953B)
[2026-08-13T08:45:20.791Z] GET https://img.clerk.com/static/github.svg → 200 (?ms, -877B)
[2026-08-13T08:45:20.791Z] GET https://img.clerk.com/static/google.svg → 200 (?ms, -903B)
[2026-08-13T08:45:20.798Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/taskSetupMFA_ui_e21f27_1.30.1.js → 200 (?ms, -951B)
[2026-08-13T08:45:20.798Z] GET https://first-husky-42.clerk.accounts.dev/npm/@clerk/ui@1.30.1/dist/4424_ui_e21f27_1.30.1.js → 200 (1ms, -945B)
